Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Emission energy (nm),Excitation peak (nm)
SrMg2La2W1.988O12 Mn0.006,18.994,12,0.006,11.994,214,74,8,66,505.60751400000004,183.84,15.999,167.841,880,200,60,140,10.05,3.44,0.95,2.49,26,7,2,5,47.834104200000006,13.618054,5.5769,8.041154,419.26199999999994,147.112,0.15,146.962,971.8324882640001,365.47392,0.329628264,365.144291736,1879.22,720,0.84,719.16,50.438900000000004,41.28,0.009300000000000001,41.2707,95.97,72,0.042,71.958,211.236080948,163.416648,0.044604108,163.37204389200002,298,708,344
SrMg2La2W1.984O12 Mn0.008,18.992,12,0.008,11.992,214,74,8,66,505.60751400000004,183.84,15.999,167.841,880,200,60,140,10.05,3.44,0.95,2.49,26,7,2,5,47.834104200000006,13.618054,5.5769,8.041154,419.016,146.816,0.2,146.616,971.2070043520001,364.73856,0.439504352,364.29905564800004,1878.9599999999998,720,1.12,718.88,50.4352,41.28,0.012400000000000001,41.2676,95.96,72,0.056,71.944,211.21949286400002,163.416648,0.059472144000000005,163.357175856,298,708,344
SrMg2La2W1.98O12 Mn0.01,18.990000000000002,12,0.01,11.99,214,74,8,66,505.60751400000004,183.84,15.999,167.841,880,200,60,140,10.05,3.44,0.95,2.49,26,7,2,5,47.834104200000006,13.618054,5.5769,8.041154,418.77,146.52,0.25,146.27,970.5815204400001,364.0032,0.54938044,363.45381956,1878.7,720,1.4000000000000001,718.6,50.43150000000001,41.28,0.015500000000000002,41.2645,95.94999999999999,72,0.07,71.93,211.20290478,163.416648,0.07434018,163.34230782,298,708,344
LiLaMgW0.999O6Mn0.001,10,6,0.001,5.999,179,74,3,71,424.92751400000003,183.84,6.94,176.9,825,195,60,135,10.08,3.44,0.98,2.46,25,7,1,6,47.530951761000004,13.618054,5.391714761,8.226339239000001,193.951,73.926,0.025,73.901,449.85556804400005,183.65616,0.054938044,183.601221956,985.005,360,0.14,359.86,25.729850000000003,20.64,0.0015500000000000002,20.63845,48.001,36,0.007,35.993,108.186773749,81.708324,0.007434018000000001,81.700889982,298,713,344
LiLaMgW0.998O6Mn0.002,10.000000000000002,6,0.002,5.998,179,74,3,71,424.92751400000003,183.84,6.94,176.9,825,195,60,135,10.08,3.44,0.98,2.46,25,7,1,6,47.530951761000004,13.618054,5.391714761,8.226339239000001,193.90200000000002,73.852,0.05,73.802,449.72666608800006,183.47232,0.109876088,183.362443912,985.01,360,0.28,359.72,25.7297,20.64,0.0031000000000000003,20.6369,48.002,36,0.014,35.986,108.186343737,81.708324,0.014868036000000001,81.69345596400001,298,713,344
LiLaMgW0.996O6Mn0.004,10,6,0.004,5.996,179,74,3,71,424.92751400000003,183.84,6.94,176.9,825,195,60,135,10.08,3.44,0.98,2.46,25,7,1,6,47.530951761000004,13.618054,5.391714761,8.226339239000001,193.804,73.704,0.1,73.604,449.46886217599996,183.10464,0.219752176,182.884887824,985.02,360,0.56,359.44,25.7294,20.64,0.006200000000000001,20.6338,48.004,36,0.028,35.972,108.18548371300001,81.708324,0.029736072000000002,81.678587928,298,713,344
LiLaMgW0.993O6Mn0.007,10,6,0.007,5.993,179,74,3,71,424.92751400000003,183.84,6.94,176.9,825,195,60,135,10.08,3.44,0.98,2.46,25,7,1,6,47.530951761000004,13.618054,5.391714761,8.226339239000001,193.657,73.482,0.17500000000000002,73.307,449.082156308,182.55312,0.38456630799999997,182.16855369200002,985.0350000000001,360,0.98,359.02,25.72895,20.64,0.01085,20.62915,48.007,36,0.049,35.951,108.18419367700001,81.708324,0.052038126000000004,81.656285874,298,713,344
LiLaMgW0.99O6Mn0.01,10,6,0.01,5.99,179,74,3,71,424.92751400000003,183.84,6.94,176.9,825,195,60,135,10.08,3.44,0.98,2.46,25,7,1,6,47.530951761000004,13.618054,5.391714761,8.226339239000001,193.51,73.26,0.25,73.01,448.69545044,182.0016,0.54938044,181.45221956,985.05,360,1.4000000000000001,358.6,25.7285,20.64,0.015500000000000002,20.6245,48.01,36,0.07,35.93,108.182903641,81.708324,0.07434018,81.63398382000001,298,713,344
LiLaMgW0.985O6Mn0.015,10,6,0.015,5.985,179,74,3,71,424.92751400000003,183.84,6.94,176.9,825,195,60,135,10.08,3.44,0.98,2.46,25,7,1,6,47.530951761000004,13.618054,5.391714761,8.226339239000001,193.265,72.89,0.375,72.515,448.0509406600001,181.0824,0.82407066,180.25832934000002,985.075,360,2.1,357.9,25.72775,20.64,0.02325,20.61675,48.01499999999999,36,0.105,35.895,108.180753581,81.708324,0.11151027,81.59681373000001,298,713,344
LiLaMgW0.98O6Mn0.02,10,6,0.02,5.98,179,74,3,71,424.92751400000003,183.84,6.94,176.9,825,195,60,135,10.08,3.44,0.98,2.46,25,7,1,6,47.530951761000004,13.618054,5.391714761,8.226339239000001,193.01999999999998,72.52,0.5,72.02,447.40643088,180.1632,1.09876088,179.06443912,985.0999999999999,360,2.8000000000000003,357.2,25.727,20.64,0.031000000000000003,20.609,48.019999999999996,36,0.14,35.86,108.178603521,81.708324,0.14868036,81.55964364,298,713,344
