Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),Emission energy (nm),Decay Time (ns)
CsGd0.91Mo2O8Eu0.05Dy0.04,12,8,0.04,7.96,298,66,8,58,716.56845196,162.5,15.999,146.501,1005,260,60,200,8.81,3.44,0,3.44,19,6,1,5,42.36362054800001,13.618054,3.893905548,9.724148452000001,267.03,84,2.64,81.36,609.99315196,191.9,6.5,185.4,1210.05,480,7,473,33.7708,27.52,0,27.52,63,48,0.08,47.92,133.140593158,108.944432,0.237562,108.70687000000001,298,295,615,0.712649702
CsGd0.92Mo2O8Eu0.05Dy0.03,12,8,0.03,7.97,298,66,8,58,716.56845196,162.5,15.999,146.501,1005,260,60,200,8.81,3.44,0,3.44,19,6,1,5,42.36362054800001,13.618054,3.893905548,9.724148452000001,267.01,84,1.98,82.02,609.94065196,191.9,4.875,187.025,1210.1,480,5.25,474.75,33.7706,27.52,0,27.52,63.00000000000001,48,0.06,47.94,133.14270061800002,108.944432,0.17817149999999998,108.7662605,298,295,615,0.725911632
Ba0.4Sr1.6B2O5Ce0.005,9.005,5,0.005,4.995,165,58,5,53,391.872,140.116,10.81,129.306,745,215,60,155,8.440000000000001,3.44,0.89,2.55,15,6,2,4,38.3612042,13.618054,5.211664,8.406390000000002,133.48999999999998,60.800000000000004,0.29,60.510000000000005,297.43838,140.192,0.7005800000000001,139.49142,876.925,320,0.925,319.075,23.1616,17.2,0.005600000000000001,17.194399999999998,40.01,30,0.01,29.99,95.91045412,68.09027,0.027693,68.062577,298,360,438,0.727541257
CsGd0.93Mo2O8Eu0.05Dy0.02,12,8,0.02,7.98,298,66,8,58,716.56845196,162.5,15.999,146.501,1005,260,60,200,8.81,3.44,0,3.44,19,6,1,5,42.36362054800001,13.618054,3.893905548,9.724148452000001,266.98999999999995,84,1.32,82.68,609.88815196,191.9,3.25,188.65,1210.15,480,3.5,476.5,33.7704,27.52,0,27.52,63,48,0.04,47.96,133.14480807800004,108.944432,0.118781,108.82565100000001,298,295,615,0.740362689
CsGd0.9Mo2O8Dy0.05Eu0.05,12.000000000000002,8,0.05,7.95,298,66,8,58,716.56845196,162.5,15.999,146.501,1005,260,60,200,8.81,3.44,0,3.44,19,6,1,5,42.363620548,13.618054,3.893905548,9.724148452000001,267.05,84,3.1500000000000004,80.85,610.04565196,191.9,7.5982,184.30180000000001,1210,480,8.75,471.25,33.771,27.52,0,27.52,63,48,0.1,47.9,133.138485698,108.944432,0.28351925,108.66091275000001,298,295,575,0.750508395
CsGd0.94Mo2O8Eu0.05Dy0.01,12,8,0.01,7.99,298,66,8,58,716.56845196,162.5,15.999,146.501,1005,260,60,200,8.81,3.44,0,3.44,19,6,1,5,42.36362054800001,13.618054,3.893905548,9.724148452000001,266.96999999999997,84,0.66,83.34,609.83565196,191.9,1.625,190.275,1210.2,480,1.75,478.25,33.7702,27.52,0,27.52,63,48,0.02,47.98,133.14691553800003,108.944432,0.0593905,108.8850415,298,295,615,0.757396029
CsGd0.91Mo2O8Dy0.05Eu0.04,12,8,0.04,7.96,298,66,8,58,716.56845196,162.5,15.999,146.501,1005,260,60,200,8.81,3.44,0,3.44,19,6,1,5,42.363620548,13.618054,3.893905548,9.724148452000001,267.06,84,2.52,81.48,610.09851196,191.9,6.07856,185.82144,1209.95,480,7.4,472.6,33.783,27.52,0,27.52,63,48,0.08,47.92,133.143279808,108.944432,0.2268154,108.7176166,298,295,575,0.760422483
Ca4Y6Si6O25Ce0.1Eu0.1,41.2,25,0.1,24.9,202,63,8,55,465.14784000000003,151.964,15.999,135.965,900,185,60,125,8.68,3.44,0,3.44,19,6,2,4,45.309137199999995,13.618054,5.5386,8.079454000000002,610.0999999999999,234,5.800000000000001,228.2,1291.44004,533.43504,14.011600000000001,519.4234399999999,3997,1500,18.5,1481.5,108.832,86,0,86,200.39999999999998,150,0.2,149.8,452.23852730000004,340.45135000000005,0.55386,339.89749000000006,298,356,426,0.762678564
CsGd0.92Mo2O8Dy0.05Eu0.03,12,8,0.03,7.97,298,66,8,58,716.56845196,162.5,15.999,146.501,1005,260,60,200,8.81,3.44,0,3.44,19,6,1,5,42.363620548,13.618054,3.893905548,9.724148452000001,267.07,84,1.89,82.11,610.1513719599999,191.9,4.55892,187.34108,1209.8999999999999,480,5.55,474.45,33.795,27.52,0,27.52,63.00000000000001,48,0.06,47.94,133.14807391800002,108.944432,0.17011154999999997,108.77432045,298,295,575,0.768638101
Ba2YB2O6ClBi0.001,12.001,6,0.001,5.999,208,83,5,78,497.47224000000006,208.9804,10.81,198.1704,800,215,60,155,12.65,3.44,0.89,2.55,26,7,2,5,53.598143,13.618054,5.211664,8.406390000000002,226.083,112,0.083,111.917,516.8328204000001,274.654,0.2089804,274.4450196,1240.16,430,0.16,429.84,30.881899999999998,20.64,0.0019,20.6381,56.005,36,0.005,35.995,127.919865516,81.708324,0.0072855160000000006,81.70103848400001,298,336,366,0.770852012
Ba1.2Zn0.8B2O5Ce0.005,9.005,5,0.005,4.995,157,58,5,53,369.632,140.116,10.81,129.306,680,215,60,155,9.14,3.44,0.89,2.55,25,12,2,10,42.060536,13.618054,5.211664,8.406390000000002,141.48999999999998,67.2,0.29,66.91,319.41198,164.7924,0.7005800000000001,164.09181999999998,836.925,300,0.925,299.075,23.6736,17.2,0.005600000000000001,17.194399999999998,48.01,30,0.01,29.99,98.48335700000001,68.09027,0.027693,68.062577,298,360,438,0.780317312
CsGd0.93Mo2O8Dy0.05Eu0.02,12,8,0.02,7.98,298,66,8,58,716.56845196,162.5,15.999,146.501,1005,260,60,200,8.81,3.44,0,3.44,19,6,1,5,42.363620548,13.618054,3.893905548,9.724148452000001,267.08,84,1.26,82.74,610.2042319599999,191.9,3.03928,188.86072000000001,1209.8500000000001,480,3.7,476.3,33.807,27.52,0,27.52,63,48,0.04,47.96,133.15286802800003,108.944432,0.1134077,108.83102430000001,298,295,575,0.795880017
CsGd0.94Mo2O8Dy0.05Eu0.01,12,8,0.01,7.99,298,66,8,58,716.56845196,162.5,15.999,146.501,1005,260,60,200,8.81,3.44,0,3.44,19,6,1,5,42.363620548,13.618054,3.893905548,9.724148452000001,267.09,84,0.63,83.37,610.2570919599999,191.9,1.51964,190.38036,1209.8,480,1.85,478.15,33.819,27.52,0,27.52,63,48,0.02,47.98,133.157662138,108.944432,0.05670385,108.88772815,298,295,575,0.809559715
Ca7MgSi4O16Ce0.04Eu0.06,28.099999999999998,16,0.04,15.96,175,63,8,55,400.547,151.964,15.999,135.965,870,185,60,125,8.77,3.44,0,3.44,18,6,2,4,46.7381122,13.618054,5.5386,8.079454000000002,342.09999999999997,140,2.32,137.68,687.8974800000001,280.54600000000005,5.604640000000001,274.94136000000003,2828.5,1260,7.4,1252.6,70.9948,55.04,0,55.04,128.20000000000002,96,0.08,95.92,301.49568450000004,217.888864,0.221544,217.66732000000002,298,365,440,0.812913357
CsGd0.95Mo2O8Eu0.05,12,8,0.05,7.95,232,64,8,56,554.06845196,157.25,15.999,141.251,830,260,60,200,7.59,3.44,0,3.44,17,6,1,5,36.424570548000005,13.618054,3.893905548,9.724148452000001,266.95,84,3.1500000000000004,80.85,609.7831519599999,191.9,7.5982,184.30180000000001,1210.25,480,9.25,470.75,33.769999999999996,27.52,0,27.52,63,48,0.1,47.9,133.14902299800002,108.944432,0.28351925,108.66091275000001,298,295,615,0.8162413
Ba2YB2O6ClBi0.0005,12.0005,6,0.0005,5.9995,208,83,5,78,497.47224000000006,208.9804,10.81,198.1704,800,215,60,155,12.65,3.44,0.89,2.55,26,7,2,5,53.598143,13.618054,5.211664,8.406390000000002,226.0415,112,0.0415,111.9585,516.7283302000001,274.654,0.1044902,274.5495098,1240.08,430,0.08,429.92,30.88095,20.64,0.00095,20.63905,56.0025,36,0.0025,35.9975,127.916222758,81.708324,0.0036427580000000003,81.704681242,298,336,366,0.816903839
Ba2Y0.82B2O6ClCe0.03Tb0.15,12,6,0.03,5.97,248,65,5,60,587.53319,158.92535,10.81,148.11535,1000,215,60,155,11.870000000000001,3.44,0,3.44,25,7,2,5,57.715027,13.618054,5.211664,8.406390000000002,230.47,112,1.74,110.26,528.6630713,274.654,4.20348,270.45052,1239.3999999999999,430,5.55,424.45,30.694,20.64,0,20.64,55.82,36,0.06,35.94,127.8392012,81.708324,0.16615799999999997,81.54216600000001,298,360,420,0.824125834
Ca1.87PO4ClCe0.03Eu0.1,8,4,0.03,3.97,181,63,8,55,414.580761998,151.964,15.999,135.965,810,185,60,125,10.91,3.44,0,3.44,24,7,2,5,54.3945102,13.618054,5.5386,8.079454000000002,109.44,37.400000000000006,1.74,35.660000000000004,224.76550199800002,74.94586000000001,4.20348,70.74238000000001,800.65,336.6,5.55,331.05,21.0136,13.76,0,13.76,40.00000000000001,24,0.06,23.94,90.091328724,54.472216,0.16615799999999997,54.306058,298,334,367,0.836956737
CsGd0.95Mo2O8Dy0.05,12,8,0.05,7.95,235,66,8,58,564.60445196,162.5,15.999,146.501,820,260,60,200,8.81,3.44,0.79,2.65,17,6,1,5,36.693235548000004,13.618054,3.893905548,9.724148452000001,267.1,84,3.3000000000000003,80.7,610.3099519599999,191.9,8.125,183.775,1209.75,480,8.75,471.25,33.830999999999996,27.52,0.061,27.459,63,48,0.1,47.9,133.162456248,108.944432,0.2969525,108.6474795,298,295,575,0.84509804
Ca3YGa3B4O15Ce0.01Mn0.2,26.21,15,0.01,14.99,186,58,5,53,420.569884,140.116,10.81,129.306,960,185,60,125,12.18,3.44,1,2.44,26,7,2,5,53.218408000000004,13.618054,5.5386,8.079454000000002,337.58,120,0.58,119.42,713.9226088,239.985,1.4011600000000002,238.58384,2379.85,900,1.85,898.15,69.7312,51.6,0.011200000000000002,51.5888,121.42,90,0.02,89.98,281.55970659999997,204.27081,0.055386,204.215424,298,365,409,0.871572936
Ba1.8Sr0.2B2O5Ce0.005,9.005,5,0.005,4.995,165,58,5,53,391.872,140.116,10.81,129.306,745,215,60,155,8.440000000000001,3.44,0.89,2.55,15,6,2,4,38.3612042,13.618054,5.211664,8.406390000000002,158.68999999999997,100.8,0.29,100.50999999999999,367.02818,247.1886,0.7005800000000001,246.48802,897.925,387,0.925,386.075,23.0776,17.2,0.005600000000000001,17.194399999999998,40.01,30,0.01,29.99,95.23396964,68.09027,0.027693,68.062577,298,360,438,0.873901598
Ca3YNaP3O12FCe0.03Mn0.13,21.16,12,0.03,11.97,185,58,8,50,412.998818441,140.116,15.999,124.11700000000002,1075,185,50,135,15.43,3.98,0.93,3.05,33,7,1,6,71.9696699,17.42282,5.1390767,12.283743300000001,264.99,96,1.74,94.26,547.382724157,191.988,4.20348,187.78452,1993.75,720,5.55,714.45,57.2151,41.28,0.033600000000000005,41.2464,104.97,72,0.06,71.94,243.12790864000002,163.416648,0.16615799999999997,163.25049,298,300,405,0.876794976
Ba1.8Ca0.2B2O5Ce0.005,9.005,5,0.005,4.995,147,58,5,53,344.33000000000004,140.116,10.81,129.306,725,215,60,155,8.49,3.44,0.89,2.55,15,6,2,4,38.77949220000001,13.618054,5.211664,8.406390000000002,155.09,100.8,0.29,100.50999999999999,357.51978,247.1886,0.7005800000000001,246.48802,893.925,387,0.925,386.075,23.087600000000002,17.2,0.005600000000000001,17.194399999999998,40.01,30,0.01,29.99,95.31762724000001,68.09027,0.027693,68.062577,298,360,450,0.881954971
Ca2.94Mg2.4P4O16Eu0.06Mn0.6,26,16,0.06,15.94,143,63,8,55,318.257805998,151.964,15.999,135.965,815,185,60,125,9.49,3.44,0,3.44,24,7,2,5,50.9685332,13.618054,5.670385,7.947669000000001,294.38,128,3.78,124.22,598.1210343920001,255.984,9.11784,246.86616,2344.2999999999997,960,11.1,948.9,70.81400000000001,55.04,0,55.04,131,96,0.12,95.88,300.959882188,217.888864,0.34022309999999995,217.5486409,298,365,461,0.898176483
BaZnB2O5Ce0.005,9.005,5,0.005,4.995,157,58,5,53,369.632,140.116,10.81,129.306,680,215,60,155,9.14,3.44,0.89,2.55,25,12,2,10,42.060536,13.618054,5.211664,8.406390000000002,136.29,56,0.29,55.71,305.02258,137.327,0.7005800000000001,136.62642,820.925,300,0.925,299.075,23.8256,17.2,0.005600000000000001,17.194399999999998,50.01,30,0.01,29.99,99.319864,68.09027,0.027693,68.062577,298,360,438,0.912222057
Ba3YAl2O7.5Ce0.03,13.53,7.5,0.03,7.47,174,58,8,50,409.3293785000001,140.116,15.999,124.11700000000002,765,215,60,155,8.280000000000001,3.44,0.89,2.55,16,6,2,4,36.5713464,13.618054,5.211664,8.406390000000002,294.74,168,1.74,166.26,679.0458970000001,411.981,4.20348,407.77752,1530.55,645,5.55,639.45,32.943599999999996,25.8,0.033600000000000005,25.7664,60.06,45,0.06,44.94,136.1253518,102.135405,0.16615799999999997,101.96924700000001,298,330,400,0.913283902
Ca7MgSi4O16Ce0.04Eu0.05,28.09,16,0.04,15.96,175,63,8,55,400.547,151.964,15.999,135.965,870,185,60,125,8.77,3.44,0,3.44,18,6,2,4,46.7381122,13.618054,5.5386,8.079454000000002,341.46999999999997,140,2.32,137.68,686.3778400000001,280.54600000000005,5.604640000000001,274.94136000000003,2826.65,1260,7.4,1252.6,70.9948,55.04,0,55.04,128.18,96,0.08,95.92,301.43898065,217.888864,0.221544,217.66732000000002,298,365,440,0.939519253
Ba0.8Zn1.2B2O5Ce0.005,9.005,5,0.005,4.995,157,58,5,53,369.632,140.116,10.81,129.306,680,215,60,155,9.14,3.44,0.89,2.55,25,12,2,10,42.060536,13.618054,5.211664,8.406390000000002,131.09,44.800000000000004,0.29,44.510000000000005,290.63318,109.86160000000001,0.7005800000000001,109.16102000000001,804.925,300,0.925,299.075,23.977600000000002,17.2,0.005600000000000001,17.194399999999998,52.01,30,0.01,29.99,100.15637100000001,68.09027,0.027693,68.062577,298,360,438,0.943988875
Mg0.85Y1.94Al4SiO12Ce0.06Mn0.15,19.999999999999996,12,0.06,11.94,169,58,8,50,379.3304225,140.116,15.999,124.11700000000002,950,185,60,125,12.150000000000002,3.44,1.12,2.32,27,7,2,5,54.59161840000001,13.618054,5.5386,8.079454000000002,255.09,96,3.48,92.52,537.7834002,191.988,8.2407066,183.7472934,1838.8,720,11.1,708.9,53.400000000000006,41.28,0.06720000000000001,41.2128,96.69,72,0.12,71.88,215.51960745,163.416648,0.33231599999999994,163.08433200000002,298,460,550,0.959041392
