Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),CIE coordinate (Y)
Ca9LaP7O28Eu0.005Mn0.01,45.015,28,0.005,27.995,188,63,8,55,432.85827599799995,151.964,15.999,135.965,860,195,60,135,9.280000000000001,3.44,0,3.44,25,7,2,5,48.89919820000001,13.618054,5.5769,8.041154,566.565,224,0.25,223.75,1165.7050044260002,447.97200000000004,0.54938044,447.42261956000004,4197.325,1680,0.925,1679.075,121.7655,96.32,0,96.32,224.07999999999998,168,0.01,167.99,515.4103029050001,381.305512,0.028351925,381.27716007500004,298,365,0.411
Sr2.925ScP3O12Eu0.005Mn0.02,18.95,12,0.005,11.995,170,63,8,55,386.45071399799997,151.964,15.999,135.965,845,200,60,140,9.49,3.44,0,3.44,25,7,2,5,49.4655002,13.618054,5.670385,7.947669000000001,273.965,111.14999999999999,0.315,110.835,588.012274874,256.2885,0.75982,255.52868,1768.725,720,0.925,719.075,52.01975,41.28,0,41.28,96,72,0.01,71.99,218.272714845,163.416648,0.028351925,163.388296075,298,350,0.411
Ca3.68Si2O7F2Eu0.04Mn0.28,14.999999999999998,7,0.04,6.96,139,63,8,55,310.062447163,151.964,15.999,135.965,725,185,50,135,11.870000000000001,3.98,0,3.98,28,7,2,5,58.4101152,17.42282,5.670385,11.752435000000002,185.12000000000003,73.60000000000001,2.52,71.08000000000001,375.10805864599996,147.48704,6.07856,141.40848,1449.0000000000002,662.4,7.4,655,39.95399999999999,24.08,0,24.08,73.39999999999999,42,0.08,41.92,171.28013557600002,95.326378,0.2268154,95.0995626,298,400,0.411
GdF3Dy0.02Tb0.06,4.079999999999999,3,0.02,2.98,204,66,9,57,497.673753163,162.5,18.998403163,143.501596837,580,180,50,130,6.3999999999999995,3.98,0,3.98,13,7,2,5,35.375466,17.42282,5.8638,11.55902,96.22,64,1.32,62.68,227.03073048899998,157.25,3.25,154,344,180,3.5,176.5,13.164399999999999,11.94,0,11.94,23.16,21,0.04,20.96,58.888865,52.268460000000005,0.118781,52.149679000000006,298,386,0.411
GdF3Tb0.03Eu0.05,4.08,3,0.03,2.97,201,65,9,56,487.137753163,158.92535,18.998403163,139.926946837,590,185,50,135,5.18,3.98,0,3.98,13,7,2,5,35.106801000000004,17.42282,5.670385,11.752435000000002,96.10000000000001,64,1.95,62.05,226.611169989,157.25,4.7677605000000005,152.4822395,344.5,180,5.25,174.75,13.139999999999999,11.94,0,11.94,23.16,21,0.06,20.94,58.87768925,52.268460000000005,0.17591400000000001,52.092546000000006,298,272,0.411
Sr1.90P2O7Tb0.06Eu0.04,11,7,0.04,6.96,189,65,8,57,445.482111998,158.92535,15.999,142.92635,720,200,60,140,6.58,3.44,0,3.44,17,6,2,4,41.333792200000005,13.618054,5.670385,7.947669000000001,164.62,72.2,2.52,69.68,356.03260499600003,166.478,6.07856,160.39944,1017.9,420,7.4,412.6,30.264999999999997,24.08,0,24.08,55.99999999999999,42,0.08,41.92,127.69864108000002,95.326378,0.2268154,95.0995626,298,395,0.4115
Sr3La0.95V3O12Eu0.05,19,12,0.05,11.95,189,63,8,55,445.42997,151.964,15.999,135.965,775,200,60,140,7.119999999999999,3.44,0,3.44,18,6,2,4,37.3063932,13.618054,5.5769,8.041154,336.29999999999995,114,3.1500000000000004,110.85,747.2308965000001,262.86,7.5982,255.26180000000002,1919.5,720,9.25,710.75,50.065,41.28,0,41.28,95.94999999999999,72,0.1,71.9,206.32138485000002,163.416648,0.28351925,163.13312875,298,370,0.412
Ba3La0.92P3O12Tb0.03Sm0.05,19.000000000000004,12,0.03,11.97,263,65,8,57,632.490581998,158.92535,15.999,142.92635,930,215,60,155,8.79,3.44,0,3.44,20,6,2,4,46.400814,13.618054,5.211664,8.406390000000002,366.49,168,1.95,166.05,836.9690788940001,411.981,4.7677605000000005,407.2132395,1858.9,720,5.25,714.75,51.590500000000006,41.28,0,41.28,95.91999999999999,72,0.06,71.94,216.1005455,163.416648,0.17591400000000001,163.240734,298,377,0.412
Na3Sc2P3O12Dy0.03,20.03,12,0.03,11.97,121,66,8,58,277.418439278,162.5,15.999,146.501,675,180,60,120,9.14,3.44,0.93,2.51,17,6,1,5,41.744356700000004,13.618054,5.1390767,8.4789773,217.98,96,1.98,94.02,448.665409834,191.988,4.875,187.113,1885.25,720,5.25,714.75,53.3966,41.28,0.0366,41.2434,96.06,72,0.06,71.94,223.5950876,163.416648,0.17817149999999998,163.23847650000002,298,350,0.412
Ca8.95CeP7O28Eu0.04Mn0.01,45,28,0.01,27.99,189,63,8,55,434.068805998,151.964,15.999,135.965,850,185,60,125,9.3,3.44,0,3.44,24,7,2,5,48.8608982,13.618054,5.5386,8.079454000000002,568.77,224,0.25,223.75,1170.230374426,447.97200000000004,0.54938044,447.42261956000004,4184.799999999999,1680,1.4000000000000001,1678.6,121.7355,96.32,0,96.32,223.05,168,0.07,167.93,515.26480862,381.305512,0.07434018,381.23117182000004,298,350,0.412
