Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Excitation source (nm),T50 (K)
SrGe3.98O9Mn0.02,14,9,0.02,8.98,103,38,8,30,231.187044,87.62,15.999,71.62100000000001,525,200,60,140,7.95,3.44,0.95,2.49,19,7,2,5,34.646374200000004,13.618054,5.6948672,7.923186800000001,237.86,127.36,0.5,126.86,521.77716088,289.06739999999996,1.09876088,287.96863912,1240.3,540,2.8000000000000003,537.2,39.940799999999996,30.96,0.031000000000000003,30.929000000000002,72.06,54,0.14,53.86,159.84578486,122.562486,0.14868036,122.41380564,430,363
Ca2GdSb0.994O6Mn0.006,10,6,0.006,5.994,168,64,8,56,390.02504400000004,157.25,15.999,141.251,705,180,60,120,9.24,3.44,1,2.44,22,7,2,5,41.9234122,13.618054,6.1131552,7.504898800000001,202.84400000000002,64,0.15,63.85,454.759068264,157.25,0.329628264,156.920371736,1044.97,360,0.84,359.16,25.887,20.64,0.009300000000000001,20.6307,47.012,36,0.042,35.958,108.685773174,81.708324,0.044604108,81.663719892,356,370
BiOClTb0.09,3.09,1,0.09,0.91,173,83,8,75,419.35474999999997,208.9804,15.999,192.9814,495,175,60,115,8.5,3.44,0,3.44,20,7,2,5,39.735,13.618054,5.8638,7.754254,113.85,83,5.85,77.15,274.7326815,208.9804,14.3032815,194.6771185,335.75,160,15.75,144.25,8.5,3.44,0,3.44,18.18,7,0.18,6.82,34.398942000000005,13.618054,0.527742,13.090312,377,370
Ba2Y3Si3O12FEu0.01,21.01,12,0.01,11.99,189,63,8,55,441.279243163,151.964,15.999,135.965,800,215,50,165,11.43,3.98,0,3.98,24,7,2,5,56.291866,17.42282,5.211664,12.211156000000003,376.63,117,0.63,116.37,838.1325631629999,274.654,1.51964,273.13436,2071.85,720,1.85,718.15,56.4,41.28,0,41.28,104.02,72,0.02,71.98,234.42632885,163.416648,0.05670385,163.35994415000002,350,370
Ca2.91Mo0.2W0.8O6Eu0.09,10,6,0.09,5.91,207,74,8,66,487.8310000000001,183.84,15.999,167.841,705,185,60,125,8.3,3.44,0,3.44,22,6,2,4,40.3580542,13.618054,5.670385,7.947669000000001,179.47,59.2,5.67,53.53,392.5597400000001,147.072,13.67676,133.39524,1037.45,523.8000000000001,16.65,507.1500000000001,25.342,20.64,0,20.64,48,36,0.18,35.82,107.71765028200001,81.708324,0.5103346499999999,81.19798935,465,370
Ba0.8Ca1.2B2O5Ce0.005,9.005,5,0.005,4.995,147,58,5,53,344.33000000000004,140.116,10.81,129.306,725,215,60,155,8.49,3.44,0.89,2.55,15,6,2,4,38.77949220000001,13.618054,5.211664,8.406390000000002,119.09000000000002,44.800000000000004,0.29,44.510000000000005,260.27078,109.86160000000001,0.7005800000000001,109.16102000000001,858.925,300,0.925,299.075,23.1976,17.2,0.005600000000000001,17.194399999999998,40.01,30,0.01,29.99,96.21911844,68.09027,0.027693,68.062577,360,373
NaBaYB2O6Ce0.02,11.02,6,0.02,5.98,177,58,5,53,416.14760928,140.116,10.81,129.306,905,215,60,155,9.64,3.44,0.89,2.55,17,6,1,5,44.0226737,13.618054,5.1390767,8.4789773,165.16,56,1.16,54.84,369.63892927999996,137.327,2.8023200000000004,134.52468,1108.7,360,3.7,356.3,27.782400000000003,20.64,0.022400000000000003,20.6176,48.04,36,0.04,35.96,114.9831347,81.708324,0.110772,81.59755200000001,360,373
LiScP2O7Cr0.06Yb0.003,11.063,7,0.003,6.997,141,70,3,67,323.909769998,173.045,6.94,166.105,780,175,60,115,9.629999999999999,3.44,0,3.44,23,6,1,5,49.078614761,13.618054,5.391714761,8.226339239000001,111.64999999999999,56,0.21,55.79,229.475332996,111.99300000000001,0.519135,111.473865,933.925,420,0.525,419.475,30.899599999999996,24.08,0,24.08,56.366,42,0.006,41.994,128.677707841,95.326378,0.018762479999999998,95.30761552,450,373
Ba3Lu4O9Bi0.01Eu0.15,16.16,9,0.01,8.99,281,83,8,75,689.2372,208.9804,15.999,192.9814,795,215,60,155,7.23,3.44,0,3.44,17,6,2,4,37.21149,13.618054,5.211664,8.406390000000002,534.2800000000001,284,0.8300000000000001,283.17,1280.7236039999998,699.8672,2.089804,697.7773960000001,1914.35,700,1.6,698.4,37.649,30.96,0,30.96,68.35,54,0.05,53.95,160.82437491,122.562486,0.07285516,122.48963084,356,375
Mg1.25Si1.25Al2.5O3N3Ce0.03,11.03,3,0.03,2.97,112,58,7,51,249.4935385,140.116,14.007,126.10900000000001,695,185,60,125,12.420000000000002,3.44,1.12,2.32,22,6,2,4,55.4744704,14.53413,5.5386,8.995529999999999,111.74,32.5,1.74,30.76,227.16282625000002,67.45384625,4.20348,63.25036625,1018.05,312.5,5.55,306.95,27.511100000000003,10.32,0.033600000000000005,10.2864,48.06,18,0.06,17.94,119.33452849999999,43.60239,0.16615799999999997,43.436232,335,376
