Formula,Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temperature (K),Excitation source (nm),IQE
Ca0.98Si2N2O2Eu0.02,7,2,0.02,1.98,112,63,7,56,250.133,151.964,14.007,137.957,600,185,60,125,9.379999999999999,3.44,0,3.44,19,6,2,4,48.0874072,14.53413,5.670385,8.863745,78.86,28,1.26,26.74,158.49772,56.17,3.03928,53.130720000000004,650.1,220,3.7,216.3,17.74,6.88,0,6.88,32,12,0.04,11.96,78.712033796,29.06826,0.1134077,28.9548523,298,450,76
K2PWO8Tb0.5Eu0.5,13,8,0.5,7.5,244,74,8,66,580.8004119980001,183.84,15.999,167.841,875,220,60,160,8.15,3.44,0,3.44,22,6,1,5,47.843618539999994,13.618054,4.34066354,9.27739046,255,74,15,59,576.447036998,183.84,30.973761998,152.866238002,1335,480,87.5,392.5,33.05,27.52,0,27.52,63,48,1,47,141.74356758000002,108.944432,2.8351925,106.1092395,298,394,76.45
KBa0.99ScSi2O7Eu0.01,12,7,0.01,6.99,181,63,8,55,417.429208,151.964,15.999,135.965,950,220,60,160,8.41,3.44,0,3.44,18,6,1,5,43.55393954,13.618054,4.34066354,9.27739046,180.07,56,0.63,55.37,389.69057799999996,135.95373,1.51964,134.43409,1234.6999999999998,420,1.85,418.15,30.9411,24.08,0,24.08,56.00000000000001,42,0.02,41.98,127.74814875000001,95.326378,0.05670385,95.26967415,298,350,76.8
Sr1.982Si5N8Eu0.02,15.001999999999999,8,0.02,7.98,122,63,7,56,281.67600000000004,151.964,14.007,137.957,560,200,65,135,5.89,3.04,0,3.04,13,5,2,3,34.0510652,14.53413,5.670385,8.863745,202.576,75.316,1.26,74.056,429.18312000000003,173.66284000000002,3.03928,170.62356000000003,1470.1000000000001,550,3.7,546.3,35.7029,24.32,0,24.32,64.004,40,0.04,39.96,168.4320894904,116.27304,0.1134077,116.1596323,298,465,77
Ba1.982Si5N8Eu0.02,15.001999999999999,8,0.02,7.98,140,63,7,56,331.38300000000004,151.964,14.007,137.957,575,215,65,150,5.83,3.04,0,3.04,13,5,2,3,33.567862000000005,14.53413,5.211664,9.322465999999999,238.252,110.992,1.26,109.732,527.702394,272.182114,3.03928,269.142834,1499.8300000000002,550,3.7,546.3,35.58398,24.32,0,24.32,64.004,40,0.04,39.96,167.47438074800002,116.27304,0.1134077,116.1596323,298,465,77
KSrGdP2O8Ce0.04Mn0.12,13.159999999999998,8,0.04,7.96,227,64,8,56,525.995105998,157.25,15.999,141.251,1085,220,60,160,11.27,3.44,0.82,2.62,25,7,1,6,53.262684740000005,13.618054,4.34066354,9.27739046,220.32,64,2.32,61.68,486.105029276,157.25,5.604640000000001,151.64536,1304.2,480,7.4,472.6,35.1008,27.52,0.044800000000000006,27.4752,63.92,48,0.08,47.92,147.2167569,108.944432,0.221544,108.72288800000001,298,280,77
Ca9Bi0.17P7O28Ce0.08Tb0.75,45,28,0.08,27.92,249,83,8,75,595.072511998,208.9804,15.999,192.9814,860,185,60,125,9.649999999999999,3.44,0,3.44,22,6,2,4,48.9058112,13.618054,5.5386,8.079454000000002,576.5,224,4.64,219.36,1191.420294486,447.97200000000004,11.209280000000001,436.76272000000006,4173.25,1680,14.8,1665.2,121.06259999999999,96.32,0,96.32,223.51,168,0.16,167.84,515.81018652,381.305512,0.443088,380.86242400000003,298,292,77
Ca2LuHf2Al3O12Ce0.02Tb0.5,20.52,12,0.02,11.98,307,72,8,64,735.5566885000001,178.49,15.999,162.491,1055,185,60,125,9.469999999999999,3.44,0,3.44,21,6,2,4,49.370318600000004,13.618054,5.425871,8.192183,423.66,144,1.16,142.84,967.3004105,356.98,2.8023200000000004,354.17768,2031.2,720,3.7,716.3,51.7324,41.28,0,41.28,96.04,72,0.04,71.96,215.7189466,163.416648,0.110772,163.305876,298,408,77.1
Ca3La0.2Ga3O15B4Eu0.8,26,15,0.2,14.8,184,63,5,58,427.47947000000005,151.964,10.81,141.154,835,195,60,135,9.39,3.44,0,3.44,19,6,2,4,45.275814999999994,13.618054,5.5769,8.041154,354.79999999999995,120,11.4,108.6,761.980294,239.985,27.781094000000003,212.20390600000002,2357,900,39,861,68.41,51.6,0,51.6,119.19999999999999,90,0.6000000000000001,89.4,279.451945,204.27081,1.11538,203.15543000000002,298,397,77.2
KSrSc2P3O12Ce0.03Tb0.12,19.150000000000002,12,0.03,11.97,224,65,8,57,517.688319998,158.92535,15.999,142.92635,1100,220,60,160,9.879999999999999,3.44,0,3.44,21,6,1,5,52.104160740000005,13.618054,4.34066354,9.27739046,249.54000000000002,96,1.74,94.26,524.813923994,191.988,4.20348,187.78452,1786.55,720,5.55,714.45,52.3736,41.28,0,41.28,96.3,72,0.06,71.94,218.90503074,163.416648,0.16615799999999997,163.25049,298,310,77.2
